,AcrobotAgentv1.0,AcrobotAgentv1.1,AcrobotAgentv1.2,AcrobotAgentv1.3
624,-500,-107,-134,-135
625,-500,-101,-89,-108
626,-500,-105,-117,-110
627,-500,-102,-120,-116
628,-500,-127,-119,-99
629,-500,-124,-120,-209
630,-500,-96,-121,-124
631,-500,-91,-128,-128
632,-500,-92,-159,-118
633,-500,-98,-133,-105
634,-500,-106,-153,-117
635,-500,-116,-88,-138
636,-500,-97,-138,-167
637,-500,-104,-112,-500
638,-500,-98,-119,-176
639,-500,-165,-87,-500
640,-500,-141,-126,-131
641,-500,-101,-140,-132
642,-500,-92,-168,-163
643,-500,-98,-129,-428
644,-500,-97,-199,-155
645,-500,-92,-102,-132
646,-500,-106,-140,-93
647,-500,-102,-128,-500
648,-500,-93,-136,-219
649,-500,-92,-87,-125
650,-500,-103,-104,-123
651,-500,-91,-87,-233
652,-500,-142,-87,-189
653,-500,-91,-111,-500
654,-500,-156,-125,-337
655,-500,-154,-127,-500
656,-500,-92,-100,-163
657,-500,-100,-111,-145
658,-500,-99,-116,-234
659,-500,-103,-110,-180
660,-500,-101,-89,-133
661,-500,-126,-128,-138
662,-500,-99,-106,-139
663,-500,-168,-117,-139
664,-500,-93,-153,-147
665,-500,-97,-207,-129
666,-500,-119,-155,-157
667,-500,-98,-142,-132
668,-500,-118,-110,-160
669,-500,-91,-120,-101
670,-500,-118,-88,-136
671,-500,-122,-127,-91
672,-500,-123,-127,-117
673,-500,-91,-500,-200
674,-500,-148,-124,-92
675,-500,-105,-104,-135
676,-500,-102,-120,-131
677,-500,-103,-187,-138
678,-500,-96,-123,-118
679,-500,-111,-117,-123
680,-500,-104,-128,-127
681,-500,-115,-118,-141
682,-500,-119,-115,-263
683,-500,-133,-115,-118
684,-500,-99,-120,-164
685,-500,-107,-127,-176
686,-500,-91,-97,-114
687,-500,-119,-90,-122
688,-500,-133,-126,-118
689,-500,-118,-105,-167
690,-500,-92,-125,-142
691,-500,-101,-98,-155
692,-500,-101,-184,-134
693,-500,-101,-118,-123
694,-500,-98,-122,-92
695,-500,-117,-104,-102
696,-500,-111,-129,-282
697,-500,-101,-150,-185
698,-500,-101,-126,-158
699,-500,-149,-88,-115
700,-500,-123,-118,-149
701,-500,-97,-95,-116
702,-500,-138,-125,-122
703,-500,-97,-242,-110
704,-500,-111,-119,-500
705,-500,-136,-115,-144
706,-500,-102,-139,-94
